Armor name,Armor type,Ref bonus,Fort Bonus,Max Dex,ACP,Cost,Upgeade slots,Weight,Books,Page,Comment
Flight Suit,Suites - Suite Counts as equipment and not armor,-,1,-,0,1000,,3,CR,137,Built-In Vacuum seals.
Space Suit,Suites - Suite Counts as equipment and not armor,-,2,-,0,2000,,15,CR,137,Built-In Improved Vacuum seals.
Shipsuit,Suites - Suite Counts as equipment and not armor,-,-,-,0,200,,1,UR,42,Coverall made by tough synthmesh fabric. Enough pockets and pouches to carry 24 objects of Small size no more than 1kg each. Cumulative weight of the objects is halved when calculating wearers total carried weight. =+1 to Fort Def when resisting extreme temperatures.
ARC Trooper armor,Light Armor,6,2,3,-2,8000,1,10,CR,282,Rare. Built-In Helmet package.
Barabel Microbe armor,Light Armor,2,-,3,-2,4000,2,6,GW,44,DR 2 vs. energy and fire dmg.
"Battle armor, Light Powered",Light Armor,4,2,3,-2,6500,2,12,K,70,
"Battle armor, Light",Light Armor,5,2,3,-2,3500,1,10,K,70,
"Beskar'gam, Light",Light Armor,5,2,3,-2,33500,2,10,SV,48,Rare. Favorable circumstances on Persuasion checks to intimidate. If personal DR can apply against atks made by lightsabers.
Blast helmet and vest,Light Armor,2,-,5,-2,500,1,3,CR,132,
Blast Jacket,Light Armor,2,1,4,-2,,1,,K,179,
Clone Trooper armor,Light Armor,6,2,3,-2,8000,1,10,CR,281,Rare. Built-In Helmet package.
Combat Jumpsuit,Light Armor,4,-,4,-2,1500,1,8,CR,133,
Commando Armor,Light Armor,5,2,3,-2,4000,1,10,T,22,Built-In Vacuum seals.
Coruscant Guard armor,Light Armor,6,2,3,-2,8000,1,10,F,178,Rare. Built-In Helmet package.
"Dark armor, Light",Light Armor,4,3,3,-2,10000,1,10,J,61,Rare. Comes with a single enhancement from the Sith Alchemist talent (J22)
Darth Vader's armor,Light Armor,8,2,3,-2,4000,1,10,CR,262,"Built-In Helmet package, Vacuum seals."
"Droid, Durasteel Plating",Light Armor,6,-,3,-2,3600,1,12,CR,196,x Cost Factor. Droid with Built-In armor takes no penalty to its speed.
