Item,Cost,Weight,Uses,Book,Page,Comment
Com ScramblerCom Scrambler,6000,10,-,GWGW,46,"Mounted on a backpack frame. Disrupts all communications (Comlinks, HoloNet, Droid receivers) within 20km radius. Getting a signal in or out requires a Use Computer check vs scramblers Use Computer check (+10). Check must be made every minute.Mounted on a backpack frame. Disrupts all communications (Comlinks, HoloNet, Droid receivers) within 20km radius. Getting a signal in or out requires a Use Computer check vs scramblers Use Computer check (+10). Check must be made every minute."
"Comlink Add-on, Holo CapabilityComlink Add-on, Holo Capability",x5x5,,-,CRCR,134,The comlink now have holo capability 3D images in addition to audio.The comlink now have holo capability 3D images in addition to audio.
"Comlink Add-on, Video capabilityComlink Add-on, Video capability",x2x2,,-,CRCR,134,The comlink now have holo capability 2D images in addition to audio.The comlink now have holo capability 2D images in addition to audio.
"Comlink Add-on, EncryptionComlink Add-on, Encryption",x10x10,,-,CRCR,134,Hardwired encryption routines. DC +10 on Use Computer checks to intercept transmission.Hardwired encryption routines. DC +10 on Use Computer checks to intercept transmission.
"Comlink Add-on, TightbeamComlink Add-on, Tightbeam",300,0.5,-,GWGW,46,Add-on for any comlink or transceiver. Uses special lasers to send and receive encrypted messages from another individual also equipped with a tightbeam (Must be in LOS of each other). Communication can not be intercepted unless the interceptor is in direct path between the individuals using these devices.Add-on for any comlink or transceiver. Uses special lasers to send and receive encrypted messages from another individual also equipped with a tightbeam (Must be in LOS of each other). Communication can not be intercepted unless the interceptor is in direct path between the individuals using these devices.
"Comlink, EarbudComlink, Earbud",200,,-,GIGI,66,"Tiny comlink fitted for wearers ear. Can be programmed to initiate or receive transmissions when wearer touches his ear, clicks or grinds his teeth. Grants +5 to Deception checks to hide its presence. Range 50km or low-orbit.Tiny comlink fitted for wearers ear. Can be programmed to initiate or receive transmissions when wearer touches his ear, clicks or grinds his teeth. Grants +5 to Deception checks to hide its presence. Range 50km or low-orbit."
"Comlink, Hands-freeComlink, Hands-free",150,0.1,-,LL,65,"Several sound-absorbing pads, placed on face and linked to a earpiece. Can be adjusted to pick up whispers. Functions as a short-range comlink, can not have video or holo upgrades.Several sound-absorbing pads, placed on face and linked to a earpiece. Can be adjusted to pick up whispers. Functions as a short-range comlink, can not have video or holo upgrades."
"Comlink, Long-rangeComlink, Long-range",250,1,-,CRCR,134,Backpack-sized comset. Double cost for wrist sized version. Range 200km or High-orbit.Backpack-sized comset. Double cost for wrist sized version. Range 200km or High-orbit.
"Comlink, Short-rangeComlink, Short-range",25,0.1,-,CRCR,134,"Consists of a receiver, transmitter and power source. Come in a variety of shapes and styles. Range 50km or low-orbit.Consists of a receiver, transmitter and power source. Come in a variety of shapes and styles. Range 50km or low-orbit."
Holo ConverterHolo Converter,3000,2,-,GIGI,66,"Small device attached to a holoprojector to alter outgoing signal so the users appearance and voice are disguised. Can change gender and species. 10 different personae with rotating wardrobe, grants +5 to Deception for making receiver believe that user is another person.Small device attached to a holoprojector to alter outgoing signal so the users appearance and voice are disguised. Can change gender and species. 10 different personae with rotating wardrobe, grants +5 to Deception for making receiver believe that user is another person."
Mobile Hologram Projection PodMobile Hologram Projection Pod,10 00010 000,75,-,WW,,
Panic RingPanic Ring,300,,-,GIGI,66,Variety of shapes and sizes most common a large ornamental ring with a small button (DC 25 Perception to notice) when pushed sends an encrypted emergency signal to a group designated by the wearer. Range 100km. DC 25 Mechanics check to change signal fail by 5 activates it.Variety of shapes and sizes most common a large ornamental ring with a small button (DC 25 Perception to notice) when pushed sends an encrypted emergency signal to a group designated by the wearer. Range 100km. DC 25 Mechanics check to change signal fail by 5 activates it.
Pocket Scrambler,400,0.5,-,CR,134,Add-on device that can be attached to any normal communication device. Automatically encodes any outgoing message so it can only be read by a communication device with a linked pocket scrambler. DC30 Use Computer check to decrypt message.
Portable Beacon,1500,6.8,-,UR,41,"1m long, one end pointed and a tripod. Used to send out safe landing zones, warnings, distress signals. Can only be read by sensors. 10,000km range. Reprogramming the signal requires a datapad and a DC 10 Use Computer check."
Signal Wand,300,0.2,-,UR,42,"0,25m stick. Orbital range broadband comlink, if connected to power source can reach interstellar distances but must know where to point it. Also red external light so can transmit signals such as Mon Calamari blink code."
Targeting Beacon,300,0.1,-,GW,47,"Cylindrical beacon, Magnetical and a extendable spike for attaching. Sends out a pulse of light (visible, infrared, ultraviolet). So that allies who know the proper setting can spot. DC10 Mechanics to modify. In clear weather range 2km."
"Translator, Personal",2000,0.1,-,UR,41,Portable tiny shell. Only verbal translations to owners language +3 chosen languages. Operates at the lvl of a DC 10 droid translator unit.
