Item,Cost,Type,Upgeade slots,Book,Page,
Cheater,500,U,1,SV,40,Designed to allow you to cheat at the popular gambling game Sabacc. +2 on WIS checks made to determine the outcome of gambling games. Stealth (+Size Mod) vs Perception to conceal the cheat. If someone beat you at sabacc by 6+ they realize you must be cheating but not know exactly how.
Cloaked,750,U,1,SV,40,"Equipment has its energy signatures baffled, any noise muffled and its appearance camouflaged. Impose a -5 on Perception or Use Computer checks made to detect it (-2 if item is in use). Weapons are obvious when in use, On armor it applies when you make Deception checks to produce a deceptive appearance (making armor look like clothing)"
Componentization,,U,1/2,GI,68,"To disguise a piece of equipment or weapon in to other type of equipment (i.e. comlink, datapad, vibroshaver). 1 Upgrade slot breaks item into 2 component each one category smaller (FR Action to reassemble) . 2 Upgrade slots breaks item into 4 items each 2 size categories smaller. (2 FR Actions to reassemble). Identifying a component as part of this upgrade package requires a DC 30 Perception or DC 25 Knowledge (technology) check."
Droidification,2000,U,2,SV,40,"Equipment turns into a fully functioning droid. Can either act like a droid with access to item or conceal itself as normal piece of equipment (DC 25 Perception to realize its unusual). Stats as ASP Labor droid (CR 203) with -3STR, +1DEX, -2sq movement per size smaller than medium (no score less than 1) and apply size mod. Considered to be proficient with equipment its built out of. Only devices can receive this upgrade, Weapons, armor, vehicles can not. If any additional droid equipment or systems are added it becomes obvious that the device is a droid.Equipment turns into a fully functioning droid. Can either act like a droid with access to item or conceal itself as normal piece of equipment (DC 25 Perception to realize its unusual). Stats as ASP Labor droid (CR 203) with -3STR, +1DEX, -2sq movement per size smaller than medium (no score less than 1) and apply size mod. Considered to be proficient with equipment its built out of. Only devices can receive this upgrade, Weapons, armor, vehicles can not. If any additional droid equipment or systems are added it becomes obvious that the device is a droid."
Dual Gear,1000,U,1,SV,41,One piece of equipment can be built into another as an upgrade. Can not place a larger item into a smaller item. Normally it can not act as both pieces of equipment at once. Must pay full price for the piece of equipment being added to the primary object. Can not share power source. The added equipment does not have any upgrade slots.One piece of equipment can be built into another as an upgrade. Can not place a larger item into a smaller item. Normally it can not act as both pieces of equipment at once. Must pay full price for the piece of equipment being added to the primary object. Can not share power source. The added equipment does not have any upgrade slots.
Electrograpple Handle,1000,U,1,SV,41,"Often used on a weapon to throw down and ""prove"" he is disarmed only to retrieve it when trouble starts. Magnetized section of equipment designed to fly toward a specially attuned grapple gauntlet (included in price). May retrieve item as a M Action within 6sq, if hilt or strapped down it grants +5 bonus on opposed STR check or Break DC.Often used on a weapon to throw down and ""prove"" he is disarmed only to retrieve it when trouble starts. Magnetized section of equipment designed to fly toward a specially attuned grapple gauntlet (included in price). May retrieve item as a M Action within 6sq, if hilt or strapped down it grants +5 bonus on opposed STR check or Break DC."
Environmental Sealing,400,U,1,SV,41,"Equipment works normally in vacuum, underwater, packed in sand or in a snowstorm. Does not take dmg from corrosive or toxic atmospheres, extreme temperatures, normal fires or radiation.Equipment works normally in vacuum, underwater, packed in sand or in a snowstorm. Does not take dmg from corrosive or toxic atmospheres, extreme temperatures, normal fires or radiation."
Extra power source*,200,U,1,SV,41,"Any equipment that runs on Energy cells or Power packs now have two such power sources doubling the duration the
device will function. Can be taken multiple times."
Memory Upgrade,4000,U,1,SV,41,"Any device with INT score (not droid) can have this upgrade. Device gain +2 INT and x2 storage capacity. Unless
noted, unmodified items hold a number of memory units equal to 5xINT (each memory units holds the same amount of
data as a recording unit). 10 memory units are enough to hold coordinates for a single hyperspace jump."
"Memory upgrade, Advanced",16000,U,2,SV,41,Any device with INT score (not droid) can have this upgrade. Device gain +4 INT and x5 storage capacity.
Miniaturized,500,U,1,SV,41,"Equipment weights half as much and is one size smaller. If melee weapon dmg dice is reduced by one step (d6s
becomes d4s, d4s becomes d3s and so on)."
Recognition System,200,U,1,SV,41,"Can identify its owner and will not function for anyone else. Fooling it takes 1min and a DC 30 Use Computer
check. Owner can deactivate this function as a F Action. Optionally it can have a code phrase that allows anyone
to deactivate it."
Remote Activation,100,U,0,SV,41,"Allows a piece of equipment to be activated with a signal from a comlink or similar comm device. i.e. set a
droid to activate, fusion lantern to flare to life, computer to start running a program, holoprojector to begin
a recorded projection. Sw Action to activate which includes entering a command code (allowing comlink to
activate multiple pieces of remote gear) Range is determined by the comm device used. A character aware of a
piece of remotely activated gear can find the necessary frequency and activation code with a DC 30 Use Computer
check."
Secret Compartment,600,U,1,SV,41,"As Storage capacity upgrade except that it can hold a single item one size smaller than the equipment itself in
a secret compartment. DC 30 Perception check to notice (DC 25 Perception check to find it with a close, hands-on
examination."
Silverplate,2500,U,1,SV,42,"Chroming process that adds a layer of tough composite material on surface of any piece of gear. Gear gain +2 DR
to the item itself."
Spring Loaded,300,U,1,SV,42,"Any equipment that can be held and used in one hand can be spring-loaded. Sw Action to Ready item. 1/turn, If
you have the Quick Draw feat, you may draw the item as a F Action."
Storage Capacity,100,U,0,SV,42,"Allow gear to carry smaller gear within or on it in a obvious compartment. Can hold multiple items atleast one
size smaller that gear itself and the total weight must be less than equipments weight with the upgrade."
Ion Shielding,1000,C,1,GW,50,"Host is not treated as being cyberneticly enhanced for the purposes of taking ion dmg. If even one cybernetic
enhancement does not have this shielding, the host gain no benefit."
Bayonet Ring, +100% of weapon cost,W,0,sv,42,"Added on a melee weapon of small or lesser size. Can be mounted on a chosen ranged weapon of atleast Medium size
that can not require a tripod or other mount for normal operations. While mounted new weapons size is Large.
Increase dmg of melee weapon by one die step (d2 to d3) but weapon group and dmg type stay the same.
You now threaten sq within reach as normal with a melee weapon.
M Action to mount/remove."
Beam Splitter,1200,W,2,k,75,"Pistols, Rifles, Heavy weapons, Exotic ranged weapons that deals energy dmg: Increasing the size of the bolt
fires. 1/Encounter, Can when using the Power Blast feat it will deal +2 dmg for every 1 point subtracted from
the atk bonus."
Bipod,100,W,0,sv,43,"Two-legged stand that steadies barrel of a rifle or heavy weapon when aiming or using autofire. Preparing for
use is a M Action (if you move you have to prepare it again) when either prone or adjacent to low objects that
are between you and your target. Counts as a mount for any weapon that require it for other weapons makes aiming
easier. If already aimed or atk a particular target, each subsequent aim action requires only a single Sw Action
(1/round F Action with Sniping Master talent) Loose benefit if you atk or aim at any other target.
Increase weight by 20% of weapons weight."
Double Trigger,800,W,0,sv,43,"One trigger is a safety and the other is a hair-trigger that fires when the slightest pressure is applied to it.
With Careful Shot feat gain +2 bonus on atk rolls if aim first (instead of the normal +1)."
Durasteel Bonding,2000,W,1,k,75,"Simple, Advanced, Exotic melee weapon that deals slashing dmg: Coats weapon with a thin layer of durasteel,
increases its own DR by 5 and add one die in dmg on a critical hit (dmg added after dmg is multiplied for the
critical hit)."
Enhanced Energy Projector,3000,W,1,k,75,"Advanced or exotic melee weapon that requires a power pack: Smoothes the flow of the power making it less likely
to produce unpredictable results. 1/Encounter, wielder may reroll a natural 1 on any atk roll, must keep second
result."
Hair TriggerHair Trigger,1200,W,1,k,75,"Pistols, Rifles, Heavy weapons, Exotic ranged weapons that use a trigger mechanism to fire: Makes it easier to
fire several shots by reducing the amount of pressure that must be placed on the trigger. 1/Encounter, wielder
that use the Rapid Shot feat to modify an atk roll may reroll the dmg from the atk, keeping the better result."
Improved Energy Cell,4000,W,2,k,75,"Pistols, Rifles, Heavy weapons, Exotic ranged weapons that require a power pack: Increases the efficiency of the
energy flow between a power pack and the firing mechanism. Doubles the number of short it can fire on a single
power pack. Additionally if the weapon has the increased weapon dmg modification (Tech Specialist feat) it gains
+3 to dmg."
Ion ChargerIon Charger,3000,W,1,SV,43,"Encases a melee weapon in a light ion field that flares to full strength anytime the weapon strikes something.
In addition to normal dmg weapon deals 2d6 of Ion dmg. (additional dmg from i.e. Rapid Strike does not increase
this Ion dmg only the normal dmg)."
Missile LoadMissile Load,250,W,1,SV,43,"Convert a grenade (Frag, Ion, Stun grenades and energy balls) into a missile that can be fired from a missile
launcher. Dmg dice of the original grenade is increased by 50%."
Neutronium Reinforcement,3000,W,1,SV,43,"Heavy neutron-rich metallic alloy used to harden and sharpen the striking or cutting surface of a melee weapon
(not lightsaber) Weapon gains +5 DR (max 15), +10HP, +100% weight and if slashing or piercing melee weapon the
critical range is 19-20."
Overload Switch,500,W,1,SV,43,"Allows any energy weapon to build a feedback loop that causes it to explode. Sw Action to activate, becomes an
improvised throwing weapon (-5 on atk roll) with a 2sq burst radius (Area attack) that does double dmg but is
destroyed. A weapon whose size is 2 or more steps larger than your size can not be thrown, and will instead
detonate at the end of your turn. Can not be added to energy balls, grenades, thermal detonators, or other
normally explosive devices."
Pulse Charger,2000,W,1,SV,43,Can be applied to any blaster weapon. Forces more power into the blast chamber producing a more powerful shot at the expense of lost accuracy. -1 on atk rolls with weapon. +1 point of dmg per die. Draws twice as many shots from the power pack.
Rangefinder,200,W,1,SV,43,Can be applied to any ranged weapon. Such a weapon takes no penalty when used to atk a target at short range. Does not stack with targeting scope (except on Medium or Long range).
Rapid Recycler,500,W,1,SV,44,Adds an Autofire mode on a blaster weapon that normally fires only in single mode. This upgrade can not be added to weapons that has a burst radius or splash radius or weapons that specifically prohibit it.
Retractable Stock,100,W,0/1,SV,44,Any pistol (1 slot) or rifle (0 slots) can have a retractable stock added. Extending or folding stock is a M Action. Folded: Treat as pistol for purposes of proficiency and range. Can not brace. Extended: Treat as rifle for purposes of proficiency and range. take a -5 penalty on atk rolls with weapon if you use it in one hand (regardless of size).
